=====linear_13()=====
ep 1 - rl : 64.62798309326172 ;racc : 0.34375 ;l: 1.3800936937332153 ; acc : 0.4375 ; vl : 71.69869232177734 ; vacc : 0.28125
ep 2 - rl : 130.94735717773438 ;racc : 0.375 ;l: 64.62797546386719 ; acc : 0.34375 ; vl : 129.80841064453125 ; vacc : 0.40625
ep 3 - rl : 103.5844497680664 ;racc : 0.375 ;l: 130.94735717773438 ; acc : 0.375 ; vl : 101.02903747558594 ; vacc : 0.40625
ep 4 - rl : 40.031497955322266 ;racc : 0.375 ;l: 103.5844497680664 ; acc : 0.375 ; vl : 38.77961349487305 ; vacc : 0.40625
ep 5 - rl : 55.186363220214844 ;racc : 0.21875 ;l: 40.03150177001953 ; acc : 0.375 ; vl : 53.02579116821289 ; vacc : 0.28125
ep 6 - rl : 62.96984100341797 ;racc : 0.34375 ;l: 55.18635940551758 ; acc : 0.21875 ; vl : 67.02450561523438 ; vacc : 0.28125
ep 7 - rl : 68.50688171386719 ;racc : 0.34375 ;l: 62.96984100341797 ; acc : 0.34375 ; vl : 76.15618896484375 ; vacc : 0.28125
ep 8 - rl : 87.75627136230469 ;racc : 0.0625 ;l: 68.50687408447266 ; acc : 0.34375 ; vl : 98.375732421875 ; vacc : 0.03125
ep 9 - rl : 62.99053192138672 ;racc : 0.28125 ;l: 87.75627136230469 ; acc : 0.0625 ; vl : 70.6229248046875 ; vacc : 0.28125
ep 10 - rl : 42.91488265991211 ;racc : 0.53125 ;l: 62.99053192138672 ; acc : 0.28125 ; vl : 49.78657150268555 ; vacc : 0.28125
ep 11 - rl : 29.286170959472656 ;racc : 0.40625 ;l: 42.91488265991211 ; acc : 0.53125 ; vl : 39.022125244140625 ; vacc : 0.28125
ep 12 - rl : 7.22157096862793 ;racc : 0.5625 ;l: 29.286169052124023 ; acc : 0.40625 ; vl : 16.44045639038086 ; vacc : 0.34375
ep 13 - rl : 23.077587127685547 ;racc : 0.375 ;l: 7.22157096862793 ; acc : 0.5625 ; vl : 35.5067253112793 ; vacc : 0.40625
ep 14 - rl : 40.2241325378418 ;racc : 0.375 ;l: 23.077587127685547 ; acc : 0.375 ; vl : 51.68658447265625 ; vacc : 0.40625
ep 15 - rl : 36.386173248291016 ;racc : 0.375 ;l: 40.22412872314453 ; acc : 0.375 ; vl : 48.20615768432617 ; vacc : 0.40625
