=====linear_6()=====
ep 1 - rl : 282.8294677734375 ;racc : 0.4375 ;l: 1.7640266418457031 ; acc : 0.21875 ; vl : 355.643310546875 ; vacc : 0.28125
ep 2 - rl : 374.66204833984375 ;racc : 0.21875 ;l: 282.8294677734375 ; acc : 0.4375 ; vl : 365.2040710449219 ; vacc : 0.28125
ep 3 - rl : 62.859230041503906 ;racc : 0.4375 ;l: 374.66204833984375 ; acc : 0.21875 ; vl : 98.14353942871094 ; vacc : 0.28125
ep 4 - rl : 131.68911743164062 ;racc : 0.125 ;l: 62.85923385620117 ; acc : 0.4375 ; vl : 117.75999450683594 ; vacc : 0.03125
ep 5 - rl : 155.93011474609375 ;racc : 0.25 ;l: 131.68911743164062 ; acc : 0.125 ; vl : 111.90666198730469 ; vacc : 0.40625
ep 6 - rl : 143.65679931640625 ;racc : 0.25 ;l: 155.9301300048828 ; acc : 0.25 ; vl : 156.42605590820312 ; vacc : 0.28125
ep 7 - rl : 151.54962158203125 ;racc : 0.4375 ;l: 143.6567840576172 ; acc : 0.25 ; vl : 196.12594604492188 ; vacc : 0.28125
ep 8 - rl : 25.756864547729492 ;racc : 0.46875 ;l: 151.54962158203125 ; acc : 0.4375 ; vl : 30.751218795776367 ; vacc : 0.40625
ep 9 - rl : 90.1344985961914 ;racc : 0.46875 ;l: 25.756864547729492 ; acc : 0.46875 ; vl : 141.83071899414062 ; vacc : 0.28125
ep 10 - rl : 96.43211364746094 ;racc : 0.21875 ;l: 90.1344985961914 ; acc : 0.46875 ; vl : 105.72376251220703 ; vacc : 0.28125
ep 11 - rl : 47.814300537109375 ;racc : 0.4375 ;l: 96.43211364746094 ; acc : 0.21875 ; vl : 88.70697021484375 ; vacc : 0.28125
ep 12 - rl : 103.56348419189453 ;racc : 0.25 ;l: 47.814300537109375 ; acc : 0.4375 ; vl : 109.91519165039062 ; vacc : 0.40625
ep 13 - rl : 67.20516967773438 ;racc : 0.125 ;l: 103.56349182128906 ; acc : 0.25 ; vl : 122.7487564086914 ; vacc : 0.03125
ep 14 - rl : 79.52461242675781 ;racc : 0.46875 ;l: 67.20516967773438 ; acc : 0.125 ; vl : 119.74403381347656 ; vacc : 0.28125
ep 15 - rl : 76.05033111572266 ;racc : 0.25 ;l: 79.52461242675781 ; acc : 0.46875 ; vl : 76.04917907714844 ; vacc : 0.28125
ep 16 - rl : 53.08696746826172 ;racc : 0.5625 ;l: 76.05033111572266 ; acc : 0.25 ; vl : 84.39550018310547 ; vacc : 0.28125
ep 17 - rl : 72.35513305664062 ;racc : 0.25 ;l: 53.08696746826172 ; acc : 0.5625 ; vl : 83.51374816894531 ; vacc : 0.40625
ep 18 - rl : 58.769447326660156 ;racc : 0.5625 ;l: 72.35514068603516 ; acc : 0.25 ; vl : 116.747802734375 ; vacc : 0.28125
ep 19 - rl : 31.34437370300293 ;racc : 0.34375 ;l: 58.769447326660156 ; acc : 0.5625 ; vl : 58.20890426635742 ; vacc : 0.25
ep 20 - rl : 37.68292999267578 ;racc : 0.5 ;l: 31.344371795654297 ; acc : 0.34375 ; vl : 92.9318618774414 ; vacc : 0.28125
ep 21 - rl : 63.89944839477539 ;racc : 0.3125 ;l: 37.68292999267578 ; acc : 0.5 ; vl : 88.50791931152344 ; vacc : 0.375
ep 22 - rl : 37.68239212036133 ;racc : 0.5625 ;l: 63.899444580078125 ; acc : 0.3125 ; vl : 98.39456939697266 ; vacc : 0.09375
ep 23 - rl : 27.024307250976562 ;racc : 0.65625 ;l: 37.68238830566406 ; acc : 0.5625 ; vl : 64.45799255371094 ; vacc : 0.21875
ep 24 - rl : 25.548702239990234 ;racc : 0.46875 ;l: 27.024307250976562 ; acc : 0.65625 ; vl : 38.11384582519531 ; vacc : 0.34375
ep 25 - rl : 39.7745361328125 ;racc : 0.46875 ;l: 25.548702239990234 ; acc : 0.46875 ; vl : 105.53167724609375 ; vacc : 0.28125
ep 26 - rl : 29.424936294555664 ;racc : 0.53125 ;l: 39.7745361328125 ; acc : 0.46875 ; vl : 44.359283447265625 ; vacc : 0.125
ep 27 - rl : 16.682273864746094 ;racc : 0.78125 ;l: 29.424936294555664 ; acc : 0.53125 ; vl : 52.64413833618164 ; vacc : 0.21875
ep 28 - rl : 12.92207145690918 ;racc : 0.5625 ;l: 16.682273864746094 ; acc : 0.78125 ; vl : 33.85449981689453 ; vacc : 0.4375
ep 29 - rl : 40.938079833984375 ;racc : 0.5625 ;l: 12.922072410583496 ; acc : 0.5625 ; vl : 111.89871215820312 ; vacc : 0.28125
ep 30 - rl : 23.830881118774414 ;racc : 0.4375 ;l: 40.938079833984375 ; acc : 0.5625 ; vl : 51.507781982421875 ; vacc : 0.21875
ep 31 - rl : 29.05052947998047 ;racc : 0.65625 ;l: 23.83087921142578 ; acc : 0.4375 ; vl : 70.22622680664062 ; vacc : 0.21875
ep 32 - rl : 9.360969543457031 ;racc : 0.59375 ;l: 29.05052947998047 ; acc : 0.65625 ; vl : 33.21153259277344 ; vacc : 0.4375
ep 33 - rl : 38.1702880859375 ;racc : 0.5 ;l: 9.360969543457031 ; acc : 0.59375 ; vl : 111.52046203613281 ; vacc : 0.28125
ep 34 - rl : 29.757173538208008 ;racc : 0.46875 ;l: 38.170291900634766 ; acc : 0.5 ; vl : 53.18798065185547 ; vacc : 0.25
ep 35 - rl : 23.07118797302246 ;racc : 0.6875 ;l: 29.757171630859375 ; acc : 0.46875 ; vl : 67.4053955078125 ; vacc : 0.21875
ep 36 - rl : 5.415748596191406 ;racc : 0.75 ;l: 23.071186065673828 ; acc : 0.6875 ; vl : 28.2822265625 ; vacc : 0.3125
ep 37 - rl : 12.34164810180664 ;racc : 0.625 ;l: 5.415748119354248 ; acc : 0.75 ; vl : 75.34330749511719 ; vacc : 0.28125
ep 38 - rl : 35.188507080078125 ;racc : 0.5 ;l: 12.34164810180664 ; acc : 0.625 ; vl : 62.36201477050781 ; vacc : 0.34375
ep 39 - rl : 31.784936904907227 ;racc : 0.71875 ;l: 35.188507080078125 ; acc : 0.5 ; vl : 99.87579345703125 ; vacc : 0.21875
