=====linear_3()=====
ep 1 - rl : 161.55197143554688 ;racc : 0.4375 ;l: 1.6215572357177734 ; acc : 0.15625 ; vl : 177.8733367919922 ; vacc : 0.28125
ep 2 - rl : 168.69769287109375 ;racc : 0.25 ;l: 161.55198669433594 ; acc : 0.4375 ; vl : 128.0518798828125 ; vacc : 0.40625
ep 3 - rl : 147.7595672607422 ;racc : 0.5625 ;l: 168.69766235351562 ; acc : 0.25 ; vl : 186.11117553710938 ; vacc : 0.25
ep 4 - rl : 129.2889404296875 ;racc : 0.4375 ;l: 147.75958251953125 ; acc : 0.5625 ; vl : 170.9123992919922 ; vacc : 0.28125
ep 5 - rl : 155.7001190185547 ;racc : 0.21875 ;l: 129.28895568847656 ; acc : 0.4375 ; vl : 142.60308837890625 ; vacc : 0.28125
ep 6 - rl : 65.1087417602539 ;racc : 0.375 ;l: 155.7001190185547 ; acc : 0.21875 ; vl : 89.15568542480469 ; vacc : 0.375
ep 7 - rl : 90.97332000732422 ;racc : 0.46875 ;l: 65.10873413085938 ; acc : 0.375 ; vl : 161.181640625 ; vacc : 0.28125
ep 8 - rl : 155.35574340820312 ;racc : 0.09375 ;l: 90.97332000732422 ; acc : 0.46875 ; vl : 182.7422332763672 ; vacc : 0.03125
ep 9 - rl : 26.050800323486328 ;racc : 0.65625 ;l: 155.35574340820312 ; acc : 0.09375 ; vl : 24.941795349121094 ; vacc : 0.25
ep 10 - rl : 66.73242950439453 ;racc : 0.46875 ;l: 26.050800323486328 ; acc : 0.65625 ; vl : 95.7883071899414 ; vacc : 0.28125
ep 11 - rl : 92.930908203125 ;racc : 0.3125 ;l: 66.73242950439453 ; acc : 0.46875 ; vl : 84.17349243164062 ; vacc : 0.375
ep 12 - rl : 60.807369232177734 ;racc : 0.34375 ;l: 92.93090057373047 ; acc : 0.3125 ; vl : 103.15679931640625 ; vacc : 0.25
ep 13 - rl : 115.93312072753906 ;racc : 0.4375 ;l: 60.807373046875 ; acc : 0.34375 ; vl : 181.8336181640625 ; vacc : 0.28125
ep 14 - rl : 16.097766876220703 ;racc : 0.5 ;l: 115.9331283569336 ; acc : 0.4375 ; vl : 43.95587158203125 ; vacc : 0.375
ep 15 - rl : 24.94917106628418 ;racc : 0.59375 ;l: 16.097766876220703 ; acc : 0.5 ; vl : 78.013916015625 ; vacc : 0.28125
ep 16 - rl : 47.685707092285156 ;racc : 0.40625 ;l: 24.949169158935547 ; acc : 0.59375 ; vl : 67.68768310546875 ; vacc : 0.25
ep 17 - rl : 32.70243453979492 ;racc : 0.65625 ;l: 47.68570327758789 ; acc : 0.40625 ; vl : 62.773494720458984 ; vacc : 0.21875
ep 18 - rl : 28.09624671936035 ;racc : 0.4375 ;l: 32.70243453979492 ; acc : 0.65625 ; vl : 46.83598327636719 ; vacc : 0.375
ep 19 - rl : 44.04893493652344 ;racc : 0.5 ;l: 28.09624671936035 ; acc : 0.4375 ; vl : 113.45304870605469 ; vacc : 0.28125
ep 20 - rl : 63.05632781982422 ;racc : 0.34375 ;l: 44.0489387512207 ; acc : 0.5 ; vl : 93.69184875488281 ; vacc : 0.28125
ep 21 - rl : 30.427398681640625 ;racc : 0.71875 ;l: 63.05632781982422 ; acc : 0.34375 ; vl : 73.69319152832031 ; vacc : 0.21875
ep 22 - rl : 19.61626434326172 ;racc : 0.375 ;l: 30.427398681640625 ; acc : 0.71875 ; vl : 50.50482940673828 ; vacc : 0.28125
ep 23 - rl : 48.819435119628906 ;racc : 0.53125 ;l: 19.61626434326172 ; acc : 0.375 ; vl : 98.69908905029297 ; vacc : 0.28125
ep 24 - rl : 50.94110107421875 ;racc : 0.40625 ;l: 48.819435119628906 ; acc : 0.53125 ; vl : 61.37773132324219 ; vacc : 0.25
ep 25 - rl : 39.58263397216797 ;racc : 0.65625 ;l: 50.94110107421875 ; acc : 0.40625 ; vl : 84.1368408203125 ; vacc : 0.21875
ep 26 - rl : 21.361328125 ;racc : 0.40625 ;l: 39.58263397216797 ; acc : 0.65625 ; vl : 57.36649703979492 ; vacc : 0.375
ep 27 - rl : 46.591678619384766 ;racc : 0.5 ;l: 21.361330032348633 ; acc : 0.40625 ; vl : 129.07354736328125 ; vacc : 0.28125
ep 28 - rl : 64.56721496582031 ;racc : 0.34375 ;l: 46.591678619384766 ; acc : 0.5 ; vl : 104.99720764160156 ; vacc : 0.125
ep 29 - rl : 21.263893127441406 ;racc : 0.75 ;l: 64.56721496582031 ; acc : 0.34375 ; vl : 51.583927154541016 ; vacc : 0.28125
ep 30 - rl : 21.943954467773438 ;racc : 0.53125 ;l: 21.263893127441406 ; acc : 0.75 ; vl : 37.03932189941406 ; vacc : 0.34375
ep 31 - rl : 46.96538162231445 ;racc : 0.46875 ;l: 21.94395637512207 ; acc : 0.53125 ; vl : 113.79208374023438 ; vacc : 0.28125
ep 32 - rl : 25.770023345947266 ;racc : 0.53125 ;l: 46.96537780761719 ; acc : 0.46875 ; vl : 51.87057113647461 ; vacc : 0.40625
ep 33 - rl : 25.663387298583984 ;racc : 0.5625 ;l: 25.770021438598633 ; acc : 0.53125 ; vl : 101.34431457519531 ; vacc : 0.28125
ep 34 - rl : 30.936494827270508 ;racc : 0.4375 ;l: 25.663389205932617 ; acc : 0.5625 ; vl : 61.40078353881836 ; vacc : 0.09375
ep 35 - rl : 20.151363372802734 ;racc : 0.84375 ;l: 30.93649673461914 ; acc : 0.4375 ; vl : 47.457977294921875 ; vacc : 0.21875
ep 36 - rl : 12.089729309082031 ;racc : 0.8125 ;l: 20.151363372802734 ; acc : 0.84375 ; vl : 30.265052795410156 ; vacc : 0.25
ep 37 - rl : 7.441425323486328 ;racc : 0.78125 ;l: 12.089730262756348 ; acc : 0.8125 ; vl : 51.66914749145508 ; vacc : 0.21875
ep 38 - rl : 8.318147659301758 ;racc : 0.65625 ;l: 7.441425323486328 ; acc : 0.78125 ; vl : 35.86304473876953 ; vacc : 0.34375
ep 39 - rl : 30.06934928894043 ;racc : 0.59375 ;l: 8.318148612976074 ; acc : 0.65625 ; vl : 100.70845031738281 ; vacc : 0.28125
ep 40 - rl : 25.902931213378906 ;racc : 0.4375 ;l: 30.06934928894043 ; acc : 0.59375 ; vl : 58.254173278808594 ; vacc : 0.15625
ep 41 - rl : 27.193714141845703 ;racc : 0.6875 ;l: 25.90292739868164 ; acc : 0.4375 ; vl : 80.14324188232422 ; vacc : 0.25
ep 42 - rl : 18.983783721923828 ;racc : 0.5625 ;l: 27.193714141845703 ; acc : 0.6875 ; vl : 42.322357177734375 ; vacc : 0.34375
ep 43 - rl : 37.427433013916016 ;racc : 0.5 ;l: 18.983783721923828 ; acc : 0.5625 ; vl : 117.9113540649414 ; vacc : 0.28125
ep 44 - rl : 32.46922302246094 ;racc : 0.4375 ;l: 37.427433013916016 ; acc : 0.5 ; vl : 65.27020263671875 ; vacc : 0.375
ep 45 - rl : 32.61335754394531 ;racc : 0.75 ;l: 32.46922302246094 ; acc : 0.4375 ; vl : 108.5836410522461 ; vacc : 0.21875
ep 46 - rl : 2.8162357807159424 ;racc : 0.875 ;l: 32.61335754394531 ; acc : 0.75 ; vl : 55.156124114990234 ; vacc : 0.21875
ep 47 - rl : 3.539005604125123e-07 ;racc : 1.0 ;l: 2.8162355422973633 ; acc : 0.875 ; vl : 33.105262756347656 ; vacc : 0.28125
ep 48 - rl : 3.539005604125123e-07 ;racc : 1.0 ;l: 3.539005604125123e-07 ; acc : 1.0 ; vl : 33.105186462402344 ; vacc : 0.28125
ep 49 - rl : 3.539005604125123e-07 ;racc : 1.0 ;l: 3.539005604125123e-07 ; acc : 1.0 ; vl : 33.105098724365234 ; vacc : 0.28125
ep 50 - rl : 3.501753269574692e-07 ;racc : 1.0 ;l: 3.539005604125123e-07 ; acc : 1.0 ; vl : 33.105018615722656 ; vacc : 0.28125
ep 51 - rl : 3.501753269574692e-07 ;racc : 1.0 ;l: 3.501753269574692e-07 ; acc : 1.0 ; vl : 33.10492706298828 ; vacc : 0.28125
ep 52 - rl : 3.501753269574692e-07 ;racc : 1.0 ;l: 3.501753269574692e-07 ; acc : 1.0 ; vl : 33.10482406616211 ; vacc : 0.28125
