=====linear_9()=====
ep 41 - rl : 3.725290076417309e-09 ;racc : 1.0 ;l: 3.11498370137997e-05 ; acc : 1.0 ; vl : 23.745254516601562 ; vacc : 0.21875
ep 42 - rl : 3.725290076417309e-09 ;racc : 1.0 ;l: 3.725290076417309e-09 ; acc : 1.0 ; vl : 21.679973602294922 ; vacc : 0.15625
ep 43 - rl : 7.058717073959997e-06 ;racc : 1.0 ;l: 3.725290076417309e-09 ; acc : 1.0 ; vl : 21.23390007019043 ; vacc : 0.1875
ep 44 - rl : 0.09804405272006989 ;racc : 0.96875 ;l: 7.058716619212646e-06 ; acc : 1.0 ; vl : 22.715599060058594 ; vacc : 0.1875
ep 45 - rl : 0.4482610523700714 ;racc : 0.90625 ;l: 0.09804404526948929 ; acc : 0.96875 ; vl : 24.15948486328125 ; vacc : 0.1875
ep 46 - rl : 0.13561376929283142 ;racc : 0.96875 ;l: 0.4482610821723938 ; acc : 0.90625 ; vl : 23.13677406311035 ; vacc : 0.21875
ep 47 - rl : 0.0001101439556805417 ;racc : 1.0 ;l: 0.13561376929283142 ; acc : 0.96875 ; vl : 22.15476417541504 ; vacc : 0.25
ep 48 - rl : 1.7213704268215224e-05 ;racc : 1.0 ;l: 0.00011014396295649931 ; acc : 1.0 ; vl : 21.763656616210938 ; vacc : 0.28125
ep 49 - rl : 5.896582933928585e-06 ;racc : 1.0 ;l: 1.7213704268215224e-05 ; acc : 1.0 ; vl : 21.714725494384766 ; vacc : 0.28125
ep 50 - rl : 2.2388194338418543e-06 ;racc : 1.0 ;l: 5.896582933928585e-06 ; acc : 1.0 ; vl : 21.797924041748047 ; vacc : 0.28125
ep 51 - rl : 9.313087048212765e-07 ;racc : 1.0 ;l: 2.2388194338418543e-06 ; acc : 1.0 ; vl : 22.042123794555664 ; vacc : 0.28125
ep 52 - rl : 4.2095496155525325e-07 ;racc : 1.0 ;l: 9.313087048212765e-07 ; acc : 1.0 ; vl : 22.31085205078125 ; vacc : 0.28125
ep 53 - rl : 2.421431872789981e-07 ;racc : 1.0 ;l: 4.2095496155525325e-07 ; acc : 1.0 ; vl : 22.62242889404297 ; vacc : 0.28125
ep 54 - rl : 1.959447445187834e-06 ;racc : 1.0 ;l: 2.421431872789981e-07 ; acc : 1.0 ; vl : 22.962188720703125 ; vacc : 0.28125
ep 55 - rl : 6.216920883161947e-05 ;racc : 1.0 ;l: 1.959447445187834e-06 ; acc : 1.0 ; vl : 23.278839111328125 ; vacc : 0.28125
ep 56 - rl : 0.001454109326004982 ;racc : 1.0 ;l: 6.216920883161947e-05 ; acc : 1.0 ; vl : 23.567916870117188 ; vacc : 0.28125
ep 57 - rl : 0.016018105670809746 ;racc : 1.0 ;l: 0.001454109326004982 ; acc : 1.0 ; vl : 23.811092376708984 ; vacc : 0.28125
ep 58 - rl : 0.01938432827591896 ;racc : 1.0 ;l: 0.016018105670809746 ; acc : 1.0 ; vl : 23.8583927154541 ; vacc : 0.25
ep 59 - rl : 0.002658543409779668 ;racc : 1.0 ;l: 0.01938432827591896 ; acc : 1.0 ; vl : 23.7515869140625 ; vacc : 0.25
ep 60 - rl : 0.00022767418704461306 ;racc : 1.0 ;l: 0.002658543409779668 ; acc : 1.0 ; vl : 23.708627700805664 ; vacc : 0.21875
ep 61 - rl : 2.3691312890150584e-05 ;racc : 1.0 ;l: 0.00022767418704461306 ; acc : 1.0 ; vl : 23.734783172607422 ; vacc : 0.21875
ep 62 - rl : 3.6095977975492133e-06 ;racc : 1.0 ;l: 2.3691312890150584e-05 ; acc : 1.0 ; vl : 23.814258575439453 ; vacc : 0.1875
ep 63 - rl : 1.0244380064250436e-06 ;racc : 1.0 ;l: 3.6095977975492133e-06 ; acc : 1.0 ; vl : 23.92327117919922 ; vacc : 0.15625
