=====linear_12()=====
ep 1 - rl : 25.102977752685547 ;racc : 0.25 ;l: 1.5422472953796387 ; acc : 0.15625 ; vl : 8.742865562438965 ; vacc : 0.40625
ep 2 - rl : 74.85433959960938 ;racc : 0.4375 ;l: 25.102977752685547 ; acc : 0.25 ; vl : 73.626953125 ; vacc : 0.28125
ep 3 - rl : 136.53192138671875 ;racc : 0.21875 ;l: 74.85433959960938 ; acc : 0.4375 ; vl : 129.8233642578125 ; vacc : 0.28125
ep 4 - rl : 89.37422943115234 ;racc : 0.21875 ;l: 136.53192138671875 ; acc : 0.21875 ; vl : 89.17172241210938 ; vacc : 0.28125
ep 5 - rl : 97.42626953125 ;racc : 0.4375 ;l: 89.37422943115234 ; acc : 0.21875 ; vl : 106.99430847167969 ; vacc : 0.28125
ep 6 - rl : 93.7689208984375 ;racc : 0.4375 ;l: 97.42626190185547 ; acc : 0.4375 ; vl : 104.23046875 ; vacc : 0.28125
ep 7 - rl : 67.91771697998047 ;racc : 0.4375 ;l: 93.7689208984375 ; acc : 0.4375 ; vl : 74.09913635253906 ; vacc : 0.28125
ep 8 - rl : 66.58391571044922 ;racc : 0.25 ;l: 67.917724609375 ; acc : 0.4375 ; vl : 63.534706115722656 ; vacc : 0.40625
ep 9 - rl : 69.36198425292969 ;racc : 0.25 ;l: 66.58391571044922 ; acc : 0.25 ; vl : 69.27388000488281 ; vacc : 0.40625
ep 10 - rl : 37.91468811035156 ;racc : 0.25 ;l: 69.36199188232422 ; acc : 0.25 ; vl : 48.05926513671875 ; vacc : 0.40625
ep 11 - rl : 27.189645767211914 ;racc : 0.25 ;l: 37.91468811035156 ; acc : 0.25 ; vl : 49.25797653198242 ; vacc : 0.0625
ep 12 - rl : 30.159343719482422 ;racc : 0.46875 ;l: 27.189645767211914 ; acc : 0.25 ; vl : 62.23394012451172 ; vacc : 0.28125
ep 13 - rl : 30.289287567138672 ;racc : 0.46875 ;l: 30.159343719482422 ; acc : 0.46875 ; vl : 65.53828430175781 ; vacc : 0.28125
ep 14 - rl : 22.020719528198242 ;racc : 0.6875 ;l: 30.289287567138672 ; acc : 0.46875 ; vl : 52.484619140625 ; vacc : 0.21875
ep 15 - rl : 40.398170471191406 ;racc : 0.25 ;l: 22.02071762084961 ; acc : 0.6875 ; vl : 67.84541320800781 ; vacc : 0.28125
ep 16 - rl : 39.712074279785156 ;racc : 0.28125 ;l: 40.39816665649414 ; acc : 0.25 ; vl : 67.07588958740234 ; vacc : 0.28125
ep 17 - rl : 19.771678924560547 ;racc : 0.5 ;l: 39.71207046508789 ; acc : 0.28125 ; vl : 47.28347396850586 ; vacc : 0.25
ep 18 - rl : 12.175786018371582 ;racc : 0.625 ;l: 19.771678924560547 ; acc : 0.5 ; vl : 41.90141296386719 ; vacc : 0.21875
ep 19 - rl : 10.61378002166748 ;racc : 0.5625 ;l: 12.175786018371582 ; acc : 0.625 ; vl : 43.77753448486328 ; vacc : 0.28125
ep 20 - rl : 8.25198745727539 ;racc : 0.71875 ;l: 10.61378002166748 ; acc : 0.5625 ; vl : 34.75508117675781 ; vacc : 0.21875
ep 21 - rl : 12.663656234741211 ;racc : 0.5625 ;l: 8.25198745727539 ; acc : 0.71875 ; vl : 33.47227096557617 ; vacc : 0.28125
ep 22 - rl : 19.299110412597656 ;racc : 0.40625 ;l: 12.663657188415527 ; acc : 0.5625 ; vl : 41.43101501464844 ; vacc : 0.40625
ep 23 - rl : 10.798199653625488 ;racc : 0.5 ;l: 19.299110412597656 ; acc : 0.40625 ; vl : 32.988868713378906 ; vacc : 0.34375
ep 24 - rl : 2.7090466022491455 ;racc : 0.84375 ;l: 10.798199653625488 ; acc : 0.5 ; vl : 25.99905014038086 ; vacc : 0.21875
ep 25 - rl : 2.0408291816711426 ;racc : 0.78125 ;l: 2.7090466022491455 ; acc : 0.84375 ; vl : 31.377243041992188 ; vacc : 0.28125
ep 26 - rl : 3.146573066711426 ;racc : 0.84375 ;l: 2.0408291816711426 ; acc : 0.78125 ; vl : 33.136314392089844 ; vacc : 0.21875
ep 27 - rl : 6.420263290405273 ;racc : 0.6875 ;l: 3.146573066711426 ; acc : 0.84375 ; vl : 36.379268646240234 ; vacc : 0.28125
ep 28 - rl : 9.077289581298828 ;racc : 0.6875 ;l: 6.420263290405273 ; acc : 0.6875 ; vl : 40.05681610107422 ; vacc : 0.28125
ep 29 - rl : 7.158931732177734 ;racc : 0.71875 ;l: 9.077289581298828 ; acc : 0.6875 ; vl : 37.54414367675781 ; vacc : 0.3125
ep 30 - rl : 2.5250425338745117 ;racc : 0.78125 ;l: 7.158930778503418 ; acc : 0.71875 ; vl : 31.374509811401367 ; vacc : 0.25
ep 31 - rl : 0.7236304879188538 ;racc : 0.90625 ;l: 2.5250425338745117 ; acc : 0.78125 ; vl : 27.791912078857422 ; vacc : 0.21875
ep 32 - rl : 0.2799169421195984 ;racc : 0.9375 ;l: 0.7236304879188538 ; acc : 0.90625 ; vl : 26.578580856323242 ; vacc : 0.1875
ep 33 - rl : 0.7371653914451599 ;racc : 0.90625 ;l: 0.279916912317276 ; acc : 0.9375 ; vl : 25.61212921142578 ; vacc : 0.25
ep 34 - rl : 2.760981321334839 ;racc : 0.8125 ;l: 0.7371653914451599 ; acc : 0.90625 ; vl : 26.939964294433594 ; vacc : 0.1875
ep 35 - rl : 3.7521395683288574 ;racc : 0.78125 ;l: 2.760981559753418 ; acc : 0.8125 ; vl : 29.06960678100586 ; vacc : 0.3125
ep 36 - rl : 2.8116273880004883 ;racc : 0.78125 ;l: 3.7521393299102783 ; acc : 0.78125 ; vl : 27.703907012939453 ; vacc : 0.28125
ep 37 - rl : 0.5270790457725525 ;racc : 0.875 ;l: 2.8116273880004883 ; acc : 0.78125 ; vl : 23.445213317871094 ; vacc : 0.15625
ep 38 - rl : 0.009034217335283756 ;racc : 1.0 ;l: 0.5270789861679077 ; acc : 0.875 ; vl : 21.120830535888672 ; vacc : 0.25
ep 39 - rl : 1.6800651110315812e-06 ;racc : 1.0 ;l: 0.009034217335283756 ; acc : 1.0 ; vl : 21.960966110229492 ; vacc : 0.1875
ep 40 - rl : 0.006398039869964123 ;racc : 1.0 ;l: 1.6800651110315812e-06 ; acc : 1.0 ; vl : 24.41693878173828 ; vacc : 0.1875
ep 41 - rl : 0.2643832564353943 ;racc : 0.96875 ;l: 0.006398039869964123 ; acc : 1.0 ; vl : 27.761869430541992 ; vacc : 0.1875
ep 42 - rl : 0.7678223848342896 ;racc : 0.875 ;l: 0.2643832564353943 ; acc : 0.96875 ; vl : 30.696765899658203 ; vacc : 0.21875
