=====linear_4()=====
ep 1 - rl : 231.2697296142578 ;racc : 0.4375 ;l: 1.7556703090667725 ; acc : 0.21875 ; vl : 218.15481567382812 ; vacc : 0.28125
ep 2 - rl : 422.6971130371094 ;racc : 0.25 ;l: 231.26974487304688 ; acc : 0.4375 ; vl : 340.6812438964844 ; vacc : 0.40625
ep 3 - rl : 73.78025817871094 ;racc : 0.4375 ;l: 422.6971435546875 ; acc : 0.25 ; vl : 83.17356872558594 ; vacc : 0.28125
ep 4 - rl : 124.82949829101562 ;racc : 0.375 ;l: 73.78026580810547 ; acc : 0.4375 ; vl : 86.18914794921875 ; vacc : 0.34375
ep 5 - rl : 155.1241455078125 ;racc : 0.09375 ;l: 124.82951354980469 ; acc : 0.375 ; vl : 171.6448974609375 ; vacc : 0.03125
ep 6 - rl : 95.84017181396484 ;racc : 0.25 ;l: 155.1241455078125 ; acc : 0.09375 ; vl : 88.48011779785156 ; vacc : 0.40625
ep 7 - rl : 181.09225463867188 ;racc : 0.4375 ;l: 95.84017181396484 ; acc : 0.25 ; vl : 229.9134521484375 ; vacc : 0.28125
ep 8 - rl : 81.753662109375 ;racc : 0.21875 ;l: 181.09226989746094 ; acc : 0.4375 ; vl : 90.41433715820312 ; vacc : 0.28125
ep 9 - rl : 137.13343811035156 ;racc : 0.4375 ;l: 81.753662109375 ; acc : 0.21875 ; vl : 174.6122283935547 ; vacc : 0.28125
ep 10 - rl : 83.9420166015625 ;racc : 0.25 ;l: 137.13343811035156 ; acc : 0.4375 ; vl : 86.193359375 ; vacc : 0.40625
ep 11 - rl : 97.93269348144531 ;racc : 0.4375 ;l: 83.9420166015625 ; acc : 0.25 ; vl : 151.78012084960938 ; vacc : 0.28125
ep 12 - rl : 55.083709716796875 ;racc : 0.21875 ;l: 97.93269348144531 ; acc : 0.4375 ; vl : 74.41923522949219 ; vacc : 0.28125
ep 13 - rl : 62.73832702636719 ;racc : 0.46875 ;l: 55.083709716796875 ; acc : 0.21875 ; vl : 108.27851104736328 ; vacc : 0.28125
ep 14 - rl : 83.5035400390625 ;racc : 0.34375 ;l: 62.73832702636719 ; acc : 0.46875 ; vl : 95.54757690429688 ; vacc : 0.3125
ep 15 - rl : 41.84709167480469 ;racc : 0.4375 ;l: 83.50354766845703 ; acc : 0.34375 ; vl : 81.17158508300781 ; vacc : 0.28125
ep 16 - rl : 41.190364837646484 ;racc : 0.53125 ;l: 41.84709167480469 ; acc : 0.4375 ; vl : 41.43217468261719 ; vacc : 0.40625
ep 17 - rl : 22.02593994140625 ;racc : 0.5 ;l: 41.190364837646484 ; acc : 0.53125 ; vl : 58.519866943359375 ; vacc : 0.21875
