=====linear_2()=====
ep 1 - rl : 236.47433471679688 ;racc : 0.4375 ;l: 1.669742465019226 ; acc : 0.1875 ; vl : 230.79090881347656 ; vacc : 0.28125
ep 2 - rl : 514.356689453125 ;racc : 0.25 ;l: 236.47433471679688 ; acc : 0.4375 ; vl : 415.3578796386719 ; vacc : 0.40625
ep 3 - rl : 101.54657745361328 ;racc : 0.25 ;l: 514.356689453125 ; acc : 0.25 ; vl : 89.112548828125 ; vacc : 0.40625
ep 4 - rl : 124.94424438476562 ;racc : 0.4375 ;l: 101.54657745361328 ; acc : 0.25 ; vl : 177.835693359375 ; vacc : 0.28125
ep 5 - rl : 187.4356689453125 ;racc : 0.21875 ;l: 124.94424438476562 ; acc : 0.4375 ; vl : 201.22274780273438 ; vacc : 0.28125
ep 6 - rl : 214.91098022460938 ;racc : 0.09375 ;l: 187.4356689453125 ; acc : 0.21875 ; vl : 266.99346923828125 ; vacc : 0.03125
ep 7 - rl : 124.32881927490234 ;racc : 0.4375 ;l: 214.91098022460938 ; acc : 0.09375 ; vl : 157.987060546875 ; vacc : 0.28125
ep 8 - rl : 43.84703063964844 ;racc : 0.25 ;l: 124.32881927490234 ; acc : 0.4375 ; vl : 40.88950729370117 ; vacc : 0.40625
ep 9 - rl : 80.8621597290039 ;racc : 0.5 ;l: 43.84703063964844 ; acc : 0.25 ; vl : 127.91600799560547 ; vacc : 0.28125
ep 10 - rl : 139.93716430664062 ;racc : 0.21875 ;l: 80.8621597290039 ; acc : 0.5 ; vl : 153.24034118652344 ; vacc : 0.28125
ep 11 - rl : 59.97814178466797 ;racc : 0.4375 ;l: 139.93716430664062 ; acc : 0.21875 ; vl : 102.9549560546875 ; vacc : 0.28125
ep 12 - rl : 67.87136840820312 ;racc : 0.25 ;l: 59.97814178466797 ; acc : 0.4375 ; vl : 72.77769470214844 ; vacc : 0.0
ep 13 - rl : 28.09920883178711 ;racc : 0.5 ;l: 67.87136840820312 ; acc : 0.25 ; vl : 24.798248291015625 ; vacc : 0.34375
ep 14 - rl : 75.26451873779297 ;racc : 0.46875 ;l: 28.09920883178711 ; acc : 0.5 ; vl : 113.60081481933594 ; vacc : 0.28125
