=====linear_1()=====
ep 1 - rl : 300.671630859375 ;racc : 0.4375 ;l: 1.4344696998596191 ; acc : 0.25 ; vl : 395.373291015625 ; vacc : 0.28125
ep 2 - rl : 232.0347442626953 ;racc : 0.21875 ;l: 300.6716003417969 ; acc : 0.4375 ; vl : 242.33480834960938 ; vacc : 0.28125
ep 3 - rl : 163.6053924560547 ;racc : 0.09375 ;l: 232.0347442626953 ; acc : 0.21875 ; vl : 213.433349609375 ; vacc : 0.03125
ep 4 - rl : 118.66178894042969 ;racc : 0.4375 ;l: 163.60537719726562 ; acc : 0.09375 ; vl : 137.23764038085938 ; vacc : 0.28125
ep 5 - rl : 245.71006774902344 ;racc : 0.25 ;l: 118.66177368164062 ; acc : 0.4375 ; vl : 206.24012756347656 ; vacc : 0.40625
ep 6 - rl : 59.726566314697266 ;racc : 0.46875 ;l: 245.7100830078125 ; acc : 0.25 ; vl : 88.07510375976562 ; vacc : 0.28125
ep 7 - rl : 91.85061645507812 ;racc : 0.28125 ;l: 59.726566314697266 ; acc : 0.46875 ; vl : 74.90201568603516 ; vacc : 0.34375
ep 8 - rl : 72.76084899902344 ;racc : 0.25 ;l: 91.85061645507812 ; acc : 0.28125 ; vl : 91.41212463378906 ; vacc : 0.40625
ep 9 - rl : 130.62513732910156 ;racc : 0.4375 ;l: 72.76084899902344 ; acc : 0.25 ; vl : 204.23223876953125 ; vacc : 0.28125
ep 10 - rl : 17.860212326049805 ;racc : 0.59375 ;l: 130.62513732910156 ; acc : 0.4375 ; vl : 46.41566848754883 ; vacc : 0.15625
ep 11 - rl : 5.541881561279297 ;racc : 0.8125 ;l: 17.860212326049805 ; acc : 0.59375 ; vl : 29.854976654052734 ; vacc : 0.21875
ep 12 - rl : 18.758710861206055 ;racc : 0.53125 ;l: 5.541881561279297 ; acc : 0.8125 ; vl : 30.357969284057617 ; vacc : 0.4375
ep 13 - rl : 63.14453887939453 ;racc : 0.4375 ;l: 18.758712768554688 ; acc : 0.53125 ; vl : 126.44879913330078 ; vacc : 0.28125
ep 14 - rl : 68.29110717773438 ;racc : 0.3125 ;l: 63.14453887939453 ; acc : 0.4375 ; vl : 84.93798828125 ; vacc : 0.15625
